start,end,strand,length,nascent_count,total_count
49660,59940,.,10280,103,16641
87820,93270,.,5450,47,4067
106140,108980,.,2840,81,4637
121910,129450,.,7540,94,5849
182460,184370,.,1910,140,20079
192730,193950,.,1220,45,4367
194470,198740,.,4270,15,1263
199310,201910,.,2600,34,2104
243140,249010,.,5870,56,3508
321350,325140,.,3790,21,1959
426840,441690,.,14850,188,11004
629820,632900,.,3080,162,10958
699160,708860,.,9700,28,2683
762610,765260,.,2650,146,13735
771270,774550,.,3280,86,12660
932320,940780,.,8460,812,42473
950090,955440,.,5350,87,6801
961460,964210,.,2750,112,18150
1140560,1145010,.,4450,28,4980
1186860,1190410,.,3550,83,4248
1224080,1226150,.,2070,28,2039
1247430,1251440,.,4010,18,2605
1295210,1310880,.,15670,13,1604
1337800,1341950,.,4150,755,47033
1350060,1357740,.,7680,11,1329
1666390,1668580,.,2190,23,1788
1695830,1705800,.,9970,30,1590
1732990,1737920,.,4930,37,2764
1741110,1747490,.,6380,23,5945
1798820,1802930,.,4110,143,43917
2139120,2147740,.,8620,211,15234
2211940,2215000,.,3060,21,2251
2259040,2263960,.,4920,22,1093
2389410,2393000,.,3590,28,4572
2393000,2397570,.,4570,115,8994
2440390,2441890,.,1500,354,13840
2529590,2532260,.,2670,100,5207
2532990,2536410,.,3420,37,1750
2543000,2544750,.,1750,197,15845
2563220,2565610,.,2390,23,2962
2637380,2643140,.,5760,6,767
2647290,2653520,.,6230,72,3783
2661520,2663750,.,2230,42,3929
2683840,2691680,.,7840,12,1342
2708310,2710490,.,2180,19,4406
2866350,2870610,.,4260,102,3754
2917350,2922640,.,5290,74,6385
2939250,2942980,.,3730,441,23657
2964460,2969080,.,4620,39,5437
3012260,3016260,.,4000,50,2797
3040170,3043170,.,3000,50,4243
3046160,3051090,.,4930,80,3906
3269380,3278780,.,9400,216,13560
3375910,3384990,.,9080,3248,142246
3439610,3448700,.,9090,102,13613
3547440,3552940,.,5500,686,44183
3552940,3556260,.,3320,554,27151
3638960,3642850,.,3890,359,13126
3735170,3740140,.,4970,177,16155
3864340,3869140,.,4800,60,3449
3911270,3927110,.,15840,95,5203
3986190,4002850,.,16660,252,20450
4015990,4027660,.,11670,160,11134
4115250,4120550,.,5300,165,9535
4252060,4260210,.,8150,48,7093
4276470,4282120,.,5650,94,4422
4480430,4488410,.,7980,8,974
4583060,4587140,.,4080,44,3460